ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
688	"ENSG00000072682.18"	"P4HA2"	chr5	-	132198205	132198271	132198320	132198380	132195411	132195480	132198878	132198932	688	278,244,131	32,35,11	396,427,450	96,82,167	149	155	6.27751618465e-07	1.88096929268e-05	0.9,0.879,0.925	0.811,0.844,0.737	0.104
645	"ENSG00000137878.16"	"GCOM1"	chr15	+	57674967	57675068	57711983	57712188	57639439	57639545	57714535	57714745	645	0,3,0	439,419,203	9,9,9	234,304,306	190	294	1.10874532866e-06	3.24862381297e-05	0.0,0.011,0.0	0.056,0.044,0.044	-0.044
2234	"ENSG00000113558.18"	"SKP1"	chr5	-	134170950	134171038	134173700	134173766	134167169	134167243	134173925	134174022	2234	9,1,2	3,9,4	5,3,5	1,0,0	155	177	1.15035937664e-06	3.30446369956e-05	0.774,0.113,0.363	0.851,1.0,1.0	-0.534
2514	"ENSG00000132549.18"	"VPS13B"	chr8	+	99507136	99507203	99507769	99507911	99502835	99502950	99511103	99511512	2514	15,3,5	0,0,0	4,5,17	2,1,9	156	231	1.56733383438e-06	4.35793218805e-05	1.0,1.0,1.0	0.748,0.881,0.737	0.211
620	"ENSG00000240344.8"	"PPIL3"	chr2	-	200882341	200882382	200885261	200885343	200881420	200881488	200885697	200885772	620	29,56,14	74,86,42	67,71,69	57,58,56	171	130	1.57658980182e-06	4.35793218805e-05	0.23,0.331,0.202	0.472,0.482,0.484	-0.225
136	"ENSG00000131051.21"	"RBM39"	chr20	-	35739392	35739547	35740524	35740597	35738967	35739017	35740823	35740887	136	92,86,39	22,35,12	37,55,76	27,59,53	162	244	2.01412080181e-06	5.46423513824e-05	0.863,0.787,0.83	0.674,0.584,0.684	0.179
1167	"ENSG00000115648.13"	"MLPH"	chr2	+	237527376	237527516	237534563	237534647	237525600	237525805	237540347	237540533	1167	306,362,136	30,37,11	213,206,301	6,3,15	229	173	3.08173081232e-06	8.20861025463e-05	0.885,0.881,0.903	0.964,0.981,0.938	-0.071
619	"ENSG00000240344.8"	"PPIL3"	chr2	-	200882341	200882382	200885261	200885367	200881420	200881488	200885697	200885772	619	77,112,32	74,86,42	131,143,130	57,58,56	195	130	3.94657199165e-06	0.000103245142282	0.41,0.465,0.337	0.605,0.622,0.607	-0.207
2332	"ENSG00000101017.13"	"CD40"	chr20	+	46123125	46123219	46126639	46126701	46122609	46122756	46128137	46128224	2332	67,74,41	37,25,17	68,83,83	9,12,13	183	151	4.14382810554e-06	0.000106503652186	0.599,0.71,0.666	0.862,0.851,0.84	-0.193
714	"ENSG00000226383.6"	"AC093375.1"	chr2	-	156024469	156024576	156205381	156205438	156022671	156022817	156227966	156228004	714	3,3,2	6,3,0	0,0,1	4,5,4	146	196	4.52361453529e-06	0.000114260263693	0.402,0.573,1.0	0.0,0.0,0.251	0.575
556	"ENSG00000136754.16"	"ABI1"	chr10	-	26755654	26755741	26759061	26759235	26751597	26751783	26765217	26765318	556	201,150,47	73,68,31	166,180,253	38,36,42	263	176	4.68471712611e-06	0.000116323908301	0.648,0.596,0.504	0.745,0.77,0.801	-0.189
2288	"ENSG00000175063.16"	"UBE2C"	chr20	+	45814383	45814470	45815389	45815540	45813436	45813464	45815853	45815913	2288	1140,1309,584	37,41,14	887,980,994	3,12,16	176	240	7.83229684642e-06	0.000191238581333	0.977,0.978,0.983	0.998,0.991,0.988	-0.013
1934	"ENSG00000015153.14"	"YAF2"	chr12	-	42199135	42199235	42210354	42210454	42161612	42161765	42210547	42210619	1934	8,8,4	1,0,0	6,1,2	1,2,5	189	189	1.43828409728e-05	0.000345423967625	0.889,1.0,1.0	0.857,0.333,0.286	0.471
1554	"ENSG00000213593.9"	"TMX2"	chr11	+	57737835	57738026	57738353	57738430	57737607	57737668	57738663	57738770	1554	125,154,83	455,475,234	47,109,103	111,136,180	280	166	1.63894870961e-05	0.000387267719287	0.14,0.161,0.174	0.201,0.322,0.253	-0.1
2361	"ENSG00000266173.5"	"STRADA"	chr17	-	63714005	63714108	63726637	63726695	63713405	63713527	63728333	63728413	2361	41,42,20	177,176,60	6,10,18	78,126,129	147	192	1.78404374113e-05	0.000414860965199	0.232,0.238,0.303	0.091,0.094,0.154	0.145
2353	"ENSG00000031823.14"	"RANBP3"	chr19	-	5951392	5951596	5957917	5957973	5941798	5941835	5978060	5978085	2353	264,186,99	50,48,21	131,97,124	17,6,9	145	293	2.02900120725e-05	0.000464451057597	0.914,0.887,0.905	0.94,0.97,0.965	-0.056
1382	"ENSG00000248751.6"	"RP1-130H16.18"	chr22	-	30288705	30288776	30292772	30292851	30287372	30287560	30293650	30293805	1382	17,34,15	1,0,2	43,26,58	6,24,10	168	160	2.19924096055e-05	0.000495675078032	0.942,1.0,0.877	0.872,0.508,0.847	0.197
557	"ENSG00000136754.16"	"ABI1"	chr10	-	26755654	26755741	26759061	26759238	26751597	26751783	26765217	26765318	557	249,180,48	73,68,31	209,211,286	38,36,42	266	176	2.25733732409e-05	0.000501060481787	0.693,0.637,0.506	0.784,0.795,0.818	-0.187
229	"ENSG00000168958.19"	"MFF"	chr2	+	227342744	227342819	227352513	227352573	227340291	227340380	227355676	227355761	229	62,52,22	159,172,76	17,9,14	79,82,117	164	149	2.58094301832e-05	0.000564340525648	0.262,0.215,0.208	0.164,0.091,0.098	0.111
109	"ENSG00000161249.20"	"DMKN"	chr19	-	35506125	35506185	35508204	35508240	35505938	35505986	35509910	35509961	109	88,89,62	82,99,36	24,11,19	41,50,48	125	149	2.79241584324e-05	0.000601601354463	0.561,0.517,0.672	0.411,0.208,0.321	0.27
1793	"ENSG00000198431.15"	"TXNRD1"	chr12	+	104290992	104291104	104309758	104309950	104288930	104289040	104311289	104311412	1793	175,154,68	14,21,16	7,33,32	6,11,18	201	281	3.04694888714e-05	0.00064326599386	0.946,0.911,0.856	0.62,0.807,0.713	0.191
852	"ENSG00000104408.9"	"EIF3E"	chr8	-	108242111	108242256	108243292	108243463	108241798	108241913	108248612	108248717	852	79,98,27	4,7,1	76,65,114	9,16,27	260	234	3.07362590923e-05	0.00064326599386	0.947,0.926,0.96	0.884,0.785,0.792	0.124
1961	"ENSG00000119688.20"	"ABCD4"	chr14	-	74293153	74293248	74295147	74295198	74292747	74292869	74295853	74295979	1961	46,36,10	47,59,24	27,27,30	14,14,11	140	184	3.36798368947e-05	0.000694943113391	0.563,0.445,0.354	0.717,0.717,0.782	-0.285
2008	"ENSG00000108021.19"	"FAM208B"	chr10	+	5714134	5714207	5717658	5717750	5712822	5712918	5720543	5720668	2008	78,81,39	33,23,9	28,15,40	2,0,5	162	181	3.42595353781e-05	0.000697086379568	0.725,0.797,0.829	0.94,1.0,0.899	-0.163
251	"ENSG00000112062.10"	"MAPK14"	chr6	+	36095986	36096066	36100187	36100267	36076536	36076608	36102570	36102649	251	209,229,77	95,95,54	100,126,214	33,32,35	169	169	3.68005663316e-05	0.000738531913367	0.688,0.707,0.588	0.752,0.797,0.859	-0.142
639	"ENSG00000156170.12"	"NDUFAF6"	chr8	+	95036301	95036494	95040705	95040927	95035453	95035576	95041569	95041626	639	28,22,16	2,6,4	1,12,7	0,0,0	282	311	4.51129559691e-05	0.00089311460128	0.939,0.802,0.815	1.0,1.0,1.0	-0.148
1357	"ENSG00000173818.16"	"ENDOV"	chr17	+	80417780	80417945	80422205	80422245	80415649	80415821	80423519	80423632	1357	1,2,3	42,57,23	4,5,15	23,27,48	254	129	4.8205814658e-05	0.00094162024632	0.012,0.018,0.062	0.081,0.086,0.137	-0.071
108	"ENSG00000161249.20"	"DMKN"	chr19	-	35506125	35506185	35507457	35507511	35505938	35505986	35508204	35508240	108	26,14,7	79,88,40	3,2,2	37,42,41	143	149	5.93787724569e-05	0.00112973898246	0.255,0.142,0.154	0.078,0.047,0.048	0.126
884	"ENSG00000223959.8"	"AFG3L1P"	chr16	+	89977638	89977802	89978809	89978878	89972585	89972765	89980241	89980336	884	107,100,55	75,90,35	27,40,62	8,12,22	253	158	5.87252185802e-05	0.00112973898246	0.471,0.41,0.495	0.678,0.676,0.638	-0.205
638	"ENSG00000156170.12"	"NDUFAF6"	chr8	+	95036370	95036494	95040705	95040927	95035453	95035576	95041569	95041626	638	19,22,13	2,6,4	1,11,4	0,0,0	213	311	6.34708558133e-05	0.00117702283249	0.933,0.843,0.826	1.0,1.0,1.0	-0.133
805	"ENSG00000066468.21"	"FGFR2"	chr10	-	121517318	121517463	121518681	121518829	121515116	121515319	121519978	121520169	805	86,83,17	8,6,0	50,46,72	0,0,0	237	234	6.28343352664e-05	0.00117702283249	0.914,0.932,1.0	1.0,1.0,1.0	-0.051
222	"ENSG00000182718.16"	"ANXA2"	chr15	-	60390212	60390317	60396372	60396427	60386027	60386086	60397942	60397986	222	5,3,1	100,111,56	7,5,8	54,28,42	144	194	6.54853977028e-05	0.0011955287292	0.063,0.035,0.023	0.149,0.194,0.204	-0.142
482	"ENSG00000153071.14"	"DAB2"	chr5	-	39382617	39383271	39388304	39388367	39381453	39381616	39388798	39388852	482	10,9,4	129,91,35	1,0,5	70,94,145	152	743	6.61009058468e-05	0.0011955287292	0.275,0.326,0.358	0.065,0.0,0.144	0.25
105	"ENSG00000161249.20"	"DMKN"	chr19	-	35505938	35505986	35509910	35509961	35505717	35505765	35510183	35510252	105	318,317,149	835,849,494	101,123,103	422,518,486	140	137	7.16861914069e-05	0.00128073500501	0.271,0.268,0.228	0.19,0.189,0.172	0.072
236	"ENSG00000130731.15"	"C16orf13"	chr16	-	634888	634956	635280	635340	634718	634797	635611	635774	236	97,68,38	51,66,28	31,61,66	105,76,114	149	157	7.56182745907e-05	0.0013347080997	0.667,0.521,0.588	0.237,0.458,0.379	0.234
163	"ENSG00000111596.11"	"CNOT2"	chr12	+	70285399	70285586	70301704	70301865	70278131	70278274	70310894	70311017	163	53,43,22	39,17,11	89,90,72	9,9,27	276	250	7.97940697254e-05	0.00139164657319	0.552,0.696,0.644	0.9,0.901,0.707	-0.205
2318	"ENSG00000269713.7"	"NBPF9"	chr1	-	149082276	149082430	149090204	149090428	149081964	149082174	149090752	149090894	2318	41,40,22	25,17,11	9,9,6	13,13,16	313	243	8.38614427858e-05	0.00144537663154	0.56,0.646,0.608	0.35,0.35,0.225	0.296
1898	"ENSG00000197467.13"	"COL13A1"	chr10	+	69897474	69897531	69898696	69898762	69895549	69895576	69902747	69902855	1898	8,11,8	0,0,0	14,31,43	4,0,9	146	155	8.7967513879e-05	0.00149676202937	1.0,1.0,1.0	0.788,1.0,0.835	0.126
993	"ENSG00000153093.18"	"ACOXL"	chr2	+	111031626	111031714	111049217	111049288	110995892	110996004	111092864	111092966	993	7,1,2	3,0,1	1,0,2	2,2,9	177	160	8.88862092528e-05	0.00149676202937	0.678,1.0,0.644	0.311,0.0,0.167	0.615
1771	"ENSG00000157823.16"	"AP3S2"	chr15	-	89877305	89877424	89878264	89878300	89871474	89871546	89888520	89888632	1771	15,11,4	45,60,37	2,0,0	8,15,25	125	208	9.43148573497e-05	0.00157012802292	0.357,0.234,0.152	0.294,0.0,0.0	0.15
489	"ENSG00000205581.10"	"HMGN1"	chr21	-	39345829	39345958	39347246	39347292	39345145	39345274	39348291	39348339	489	8,8,4	149,162,55	1,0,2	43,94,143	135	218	0.000103485836141	0.00168451944385	0.08,0.074,0.105	0.036,0.0,0.022	0.067
970	"ENSG00000153406.13"	"NMRAL1"	chr16	-	4469226	4469465	4469503	4469698	4466152	4466402	4474092	4474166	970	24,36,14	829,727,326	4,3,12	447,335,423	284	328	0.000102766828413	0.00168451944385	0.032,0.054,0.047	0.01,0.01,0.032	0.027
1433	"ENSG00000143363.15"	"PRUNE1"	chr1	+	151018556	151018669	151025514	151025673	151017811	151017904	151027232	151027327	1433	20,14,8	128,117,38	5,6,4	79,127,102	202	248	0.000116893569661	0.00188185801707	0.161,0.128,0.205	0.072,0.055,0.046	0.107
1990	"ENSG00000105793.15"	"GTPBP10"	chr7	+	90355085	90355230	90372154	90372228	90352815	90353009	90374301	90374354	1990	81,99,42	102,107,32	6,20,22	27,34,64	234	163	0.000126248519004	0.00201037043849	0.356,0.392,0.478	0.134,0.291,0.193	0.203
752	"ENSG00000080947.14"	"CROCCP3"	chr1	-	16486425	16486661	16489684	16489791	16485568	16485665	16490617	16490783	752	0,0,0	8,8,3	3,0,4	7,6,20	196	325	0.000142975178543	0.00225224340393	0.0,0.0,0.0	0.415,0.0,0.249	-0.221
1016	"ENSG00000166479.9"	"TMX3"	chr18	-	68700404	68700485	68701744	68701790	68697931	68698031	68710020	68710144	1016	137,157,72	13,18,2	65,85,60	1,2,2	135	170	0.000149577295486	0.00233117806263	0.93,0.917,0.978	0.988,0.982,0.974	-0.04
1377	"ENSG00000071054.16"	"MAP4K4"	chr2	+	101860824	101860986	101863820	101864051	101859735	101859864	101864929	101865036	1377	214,195,112	6,22,7	144,158,218	0,5,6	251	320	0.000199576381317	0.00307767788031	0.978,0.919,0.953	1.0,0.976,0.979	-0.035
519	"ENSG00000160688.18"	"FLAD1"	chr1	+	154992564	154992673	154992712	154992786	154990158	154990257	154992901	154993111	519	12,7,2	115,119,69	0,0,0	29,38,15	198	163	0.000208256540037	0.00317808157452	0.079,0.046,0.023	0.0,0.0,0.0	0.049
580	"ENSG00000075711.20"	"DLG1"	chr3	-	197076585	197076685	197081050	197081117	197075836	197075870	197085579	197085756	580	230,153,71	28,30,7	197,228,384	16,18,18	156	189	0.000221035659668	0.00333832207643	0.909,0.861,0.925	0.937,0.939,0.963	-0.048
1877	"ENSG00000169241.17"	"SLC50A1"	chr1	+	155136827	155136951	155137560	155137722	155136298	155136376	155137978	155138098	1877	126,95,39	301,176,120	116,154,206	180,221,255	213	251	0.000238984255124	0.00357257075262	0.33,0.389,0.277	0.432,0.451,0.488	-0.125
